Tom wandelt snel. 	 Tom walks quickly.
Mijn tante is de zus van mijn vader. 	 My aunt is my father's sister.
Er staan veel bomen in dit bos. 	 There are many trees in this forest.
Is Maria jouw dochter? 	 Is Mary your daughter?
Deze foto heb ik vorige week gemaakt. 	 I took this picture a week ago.
Ik wist dat je ongelukkig met de resultaten zou zijn. 	 I knew you'd be unhappy with the results.
Ik denk het. 	 I think so.
Ik zou graag met jou iets bespreken. 	 I want to talk to you about something.
Laten we daar eerst naar kijken. 	 Let's look at that first.
Ik ben bang dat je in gevaar bent. 	 I'm afraid that you're in danger.
Ik ben het niet met je eens. 	 I disagree with you.
Tom is nooit op tijd. 	 Tom is never on time.
Ik heb jullie wat klaargemaakt. 	 I made you guys something.
Ik hou van kaas. 	 I like cheese.
Ik wil jullie allebei op mijn kantoor zien. 	 I want to see you both in my office.
Dit is een groot huis. 	 This is a big house.
Ze noemden president Roosevelt een piraat. 	 They called President Roosevelt a pirate.
De auteur is Braziliaan. 	 The author is Brazilian.
Ik heb gegeten. 	 I've eaten.
Ze werd een actrice. 	 She became an actress.
Ik heb al met deze student gesproken. 	 I already talked to this student.
Ik had niet gedacht dat je zou komen. 	 I didn't think that you'd come.
Gaat u nog steeds elke kerst naar Australië? 	 Do you still go to Australia every Christmas?
U heeft me goed advies gegeven. 	 You've given me good advice.
Ik heb vrienden in veel landen. 	 I have friends in many countries.
Tom is allergisch voor MNG. 	 Tom is allergic to MSG.
We denken dat we weten waar Tom is geweest. 	 We think we know where Tom has been.
Hij raakte zijn weg kwijt in de sneeuw. 	 He lost his way in the snow.
Ik hou ook van schilderen. 	 I like painting, too.
Ben je een politieagent? 	 Are you a policeman?
Tom is het soort man met wie ik getrouwd zou willen zijn. 	 Tom is the kind of guy that I'd like to be married to.
Heeft Tom een tattoo? 	 Does Tom have a tattoo?
Tom lijkt nerveus. 	 Tom seems nervous.
Tom wil pizza eten. 	 Tom wants to eat pizza.
De lucht werd al maar donkerder. 	 The sky became darker and darker.
De wereld is klein. 	 The world is small.
Ik wil je een paar vragen stellen. 	 I want to ask you some questions.
Gij zijt de persoon die ik zocht. 	 You are the one that I was looking for.
De nieuwe brug werd Rainbow Bridge genoemd. 	 The new bridge was named Rainbow Bridge.
Waarom zijn jullie weggelopen? 	 Why did you run away?
Ik kreeg de keus tussen thee en koffie. 	 I was offered the choice of tea or coffee.
Deze winter gaan we veel hout verbranden. 	 This winter we're going to burn a lot of wood.
Ik ben de eigenaar van dit gebouw. 	 I'm the owner of this building.
Wat dacht je van 12:45? 	 How about 12:45?
Was u echt in Australië? 	 Were you really in Australia?
Mijn boek weegt veel. 	 My book is very heavy.
Hij ging daar zelden heen. 	 He seldom went there.
Waarop wachten jullie? 	 What're you waiting for?
Tom gooide een steen naar me. 	 Tom threw a rock at me.
Daar gaat je auto. 	 There goes your ride.
Waar is uw huis? 	 Where's your house?
Het is acht uur 's avonds. 	 It's 8:00 p.m.
Tom vroeg om meer koffie. 	 Tom asked for more coffee.
Ik ben doodop. 	 I'm really tired.
Tom ging op 20 oktober naar de tandarts. 	 Tom went to the dentist on October 20th.
Er staat een man voor je aan de deur. 	 There is a man waiting for you at the door.
Ik heb lunch meegenomen. 	 I've brought lunch.
Is je kind een jongen of een meisje? 	 Is your child a boy or a girl?
Wij zijn hondentrainers. 	 We're dog trainers.
Hoe avontuurlijk zijn jullie? 	 How adventurous are you?
Ze hebben een prachtig huis. 	 They have a beautiful house.
Hij heeft een lange neus. 	 He has a long nose.
Ik ben vrij zeker dat Tom geen broers en zussen heeft. 	 I'm fairly certain that Tom doesn't have any siblings.
Ik wil niet golfen. 	 I don't want to play golf.
Ik weet dat je geen dokter bent. 	 I know that you aren't a doctor.
Zelfs Tom kan Frans spreken. 	 Even Tom can speak French.
Ik kan Tom niet beschermen. 	 I can't protect Tom.
We komen hiervandaan. 	 We're from here.
Mijn oom heeft twee jaar in Washington D.C. gewoond. 	 My uncle lived in Washington, D. C. for two years.
Ga niet weg zonder gedag te zeggen. 	 Don't leave without saying goodbye.
De thuissituatie wordt met de dag ondragelijker. 	 The situation at home is getting more unbearable every day.
Het water kwam tot aan zijn middel. 	 The water came up to his waist.
Ben je niet de hele dag thuis? 	 Aren't you going to be home all day?
Tom ontwierp dit gebouw. 	 Tom designed this building.
Er is iemand aan de deur. 	 Someone is at the door.
Tom zegt dat hij echt een spook gezien heeft. 	 Tom says he has actually seen a ghost.
Tom volgde thuis onderwijs. 	 Tom was homeschooled.
Wil je graag een glas witte wijn? 	 Would you like a glass of white wine?
Tom zal dat meteen doen. 	 Tom will do that right away.
Je vind dat niet leuk om te doen, of wel? 	 You don't like to do that, do you?
Je hebt geen alibi voor de dag van de moord. 	 You don't have an alibi for the day of the murder.
Ik ben vanmorgen laat opgestaan. 	 I got up late this morning.
Wil je iets? 	 Do you want anything?
Vissen, jagen, wandelen en skiën zijn populair. 	 Fishing, hunting, hiking and skiing are popular.
Dit is het mooiste geschenk dat ik ooit gekregen heb. 	 This is the most wonderful present I have ever received.
Toms favoriete gerecht is lasagne. 	 Tom's favorite dish is lasagna.
Waarom ben je te laat? 	 Why are you late?
Ik vroeg me gewoon af of Tom verliefd op Mary zou kunnen zijn. 	 I was just wondering if Tom could possibly be in love with Mary.
Ik wachtte een uur op hem op het station, maar hij kwam niet opdagen. 	 I waited for him at the station for an hour, but he didn't show up.
Tom had waarschijnlijk gelijk. 	 Tom was probably right.
Ik zal het u tonen. 	 I'll show you.
Ik moet gaan slapen. 	 I need to go to sleep.
Ik kom mee. 	 I'll come along.
Het is twee mijl van hier naar het station. 	 It's two miles from here to the station.
Teken een kleine cirkel. 	 Draw a small circle.
Ik wist dat Tom dat vorige week in Boston zou gaan doen. 	 I knew that Tom was going to do that in Boston last week.
Waarom heb ik dat gedaan? 	 Why did I do that?
Tom is niet gestorven. 	 Tom didn't die.
Tom had weer een beroerte. 	 Tom had another stroke.
Ik draag helemaal geen onderbroek. 	 I'm not wearing any underwear.
Beide zussen zijn blondines. 	 The sisters are both blondes.
Tom zag Mary met een andere man. 	 Tom saw Mary with another man.
Je bent mijn eerste echte vriendje. 	 You're my first real boyfriend.
Ze gaf hem het geld. 	 She handed him the money.
Weet je zeker dat Tom niet allergisch is voor pinda's? 	 Are you sure Tom isn't allergic to peanuts?
Het lawaai wordt steeds harder en harder. 	 The noise is getting louder and louder.
We moeten opletten en luisteren. 	 We have to pay attention and listen.
De kiosk verkocht veel soorten koffie. 	 The kiosk sold many types of coffee.
Laat me het proberen. 	 Let me try it.
Tom en Maria zijn van plan volgend jaar te komen. 	 Tom and Mary are planning to come next year.
Tom keek in een spiegel. 	 Tom looked in a mirror.
Wat vinden jullie hiervan? 	 What do you make of this?
Een voetbalteam bestaat uit elf spelers. 	 A soccer team consists of eleven players.
Hij vergiste zich en dronk vergif. 	 He made a mistake and drank poison.
Wees ondersteunend. 	 Be supportive.
Haar echte naam ken ik niet. 	 I don't know her real name.
Ik heb veel dingen te doen. 	 I have a lot of things to do.
Hun geduld begon op te raken. 	 Their patience was about to give out.
Ik ben daar nog steeds niet zeker van. 	 I'm still not sure about that.
Tom wil een modeltrein voor Kerstmis. 	 Tom wants a model train for Christmas.
De houten stoel is duur. 	 The wooden chair is expensive.
Het was een magisch moment. 	 It was a magic moment.
Tom is pianist. 	 Tom is a pianist.
Dit is nog niks. 	 You ain't seen nothing yet.
Ik kocht een mooi horloge voor mezelf. 	 I bought myself a nice watch.
Tom weet er niks van. 	 Tom knows nothing about it.
Tom kan niet winnen. 	 Tom can't win.
Laten we er niet meer over praten. 	 Let's not talk about it any more.
Hij is een van de populairste leerlingen van de klas. 	 He is one of the most popular students in the class.
Ik ben een brief aan het schrijven. 	 I'm writing a letter.
Wij hadden allemaal medelijden met Tom. 	 We all felt sorry for Tom.
Alle jongens genoten van het skiën. 	 All the boys enjoyed skiing.
Zou je dat kunnen herhalen? 	 Could you repeat that?
Hij deed alsof hij het antwoord niet wist. 	 He pretended not to know the answer.
Bel Tom en zeg hem dat je later zal zijn. 	 Call Tom and tell him you'll be late.
Hij werd van de school weggestuurd. 	 He was expelled from school.
Iets in zijn gezicht herinnerde mij aan een oude vriend van mij. 	 Something in his face really reminded me of an old boyfriend of mine.
Kan ik dat kopen? 	 Can I buy that?
Ik zou het boek moeten lezen. 	 I should read the book.
Laat me erover denken en ik zal het je later laten weten. 	 Let me think it over, and I'll let you know later.
Wil je dat ik de ramen opendoe? 	 Do you want me to open the windows?
Ik weet niet waarom Tom heeft gelogen. 	 I don't know why Tom lied.
Het maakt me echt niet uit. 	 I really don't care.
We wensen Tom succes. 	 We wish Tom success.
Waar is je hond? 	 Where's your dog?
Wanneer was het de laatste keer dat je met Tom sprak? 	 When was the last time you spoke with Tom?
Je bent een snelle werker. 	 You're a fast worker.
Mijn verklaring klinkt misschien vreemd. 	 My explanation may sound strange.
Waar waren we gebleven? 	 Where were we?
Ik ga om zeven uur naar school. 	 I go to school at seven o'clock.
Het bad staat klaar. 	 The bath is ready.
Katoen neemt water op. 	 Cotton sucks up water.
Tom is blind. 	 Tom is blind.
Heel erg bedankt voor uw uitnodiging. 	 Thank you very much for your invitation.
Voeg een beetje suiker en room toe. 	 Add a little sugar and cream.
Heeft u een blauwe jas? 	 Do you have a blue coat?
We moeten offers brengen. 	 We need to make sacrifices.
Hij heeft de gewoonte op zijn hoofd te krabben. 	 He has the habit of scratching his head.
Tom sneed de wortels. 	 Tom sliced the carrots.
Hij vroeg mij om hulp. 	 He asked me for help.
Ik denk dat Tom en ik ons per ongeluk vergiftigd hebben. 	 I think that Tom and I might have accidentally poisoned ourselves.
Ik ben water aan het koken. 	 I'm boiling water.
Weet je waar mijn horloge is? 	 Do you know where my watch is?
Hij is zo een ontzettende luiaard. 	 He is such a lazy fellow.
Ik deed mijn ogen dicht. 	 I closed my eyes.
Zo is het leven. 	 That's just life.
Ik heb mijn vrienden uitgenodigd. 	 I've invited my friends.
Ik spreek niet goed Mandarijns. 	 I cannot speak Mandarin well.
Tom zal enthousiast zijn. 	 Tom will be thrilled.
Laat me zien wat jullie hebben. 	 Show me what you've got.
Om dat te doen, moet je risico's nemen. 	 In order to do that, you have to take risks.
Ik denk niet dat dit een goede benadering is van de biologie. 	 I don't think this is a good approach to biology.
Blijf wakker. 	 Stay awake.
Zijn jullie morgen vrij? 	 Are you free tomorrow?
Toen Tom wakker werd was alles bedekt met sneeuw. 	 When Tom woke up, everything was covered with snow.
Ik drink niet meer. 	 I don't drink anymore.
Tom heeft Maria vermoord. 	 Tom murdered Mary.
Ik geef om hen allebei. 	 I love both of them.
Ik woon nog steeds in Boston. 	 I still live in Boston.
Ze toonde hem hoe hij het nieuwe programma moest gebruiken. 	 She showed him how to use the new software.
In juni is hij teruggekomen uit Nederland. 	 He returned from Holland in June.
Tom heeft al lang niet van Mary gehoord. 	 Tom hasn't heard from Mary in a long time.
Om zes uur ben ik terug. 	 I'll be back at six.
Zijn draken echt? 	 Are dragons real?
We zijn bezorgd over onze planeet. 	 We are concerned about our planet.
Het gaat ontploffen. 	 It's going to explode.
Kunt u me vertellen waar de vlooienmarkt is? 	 Can you tell me where the flea market is?
Ik ging met vrienden een biertje drinken. 	 I went to drink a beer with friends.
Tom leeft nauwelijks. 	 Tom is barely alive.
Ik heb een nichtje. Ze gaat naar dezelfde school als Maria. 	 I have a niece. She goes to the same school as Mary.
Wil je een appel? 	 Do you want an apple?
Ik hoop dat je vindt waarnaar je op zoek bent. 	 I hope you find what you're looking for.
Ik las het artikel. 	 I read the article.
Ik heb zin om naar buiten te gaan. 	 I feel like going outside.
Wat doe je nu? 	 What are you doing now?
Mag ik je fiets lenen? 	 May I borrow your bicycle?
Voel dit. 	 Feel this.
Ik ben trots op mijn kinderen. 	 I'm proud of my children.
Tom verslikte zich in zijn water. 	 Tom choked on his water.
Je gulp staat open. 	 Your fly is open.
Ik denk dat het mogelijk is. 	 I think it's possible.
Kun je me later bellen? 	 Could you call me later?
Tom heeft een donkere huid. 	 Tom has a dark complexion.
Er staat een radio op tafel. 	 There's a radio on the table.
Elk schip heeft een kapitein nodig. 	 Every ship needs a captain.
Ik denk dat je daar niet was. 	 I guess you weren't there.
Wij zijn gelukkige mannen. 	 We're happy men.
Het heeft gesneeuwd. 	 It's been snowing.
Tom is een erg praktisch, nuchter mens. 	 Tom is a very practical, down-to-earth person.
Wil je een glas sinaasappelsap? 	 Do you want a glass of orange juice?
Ik heb je gezegd dat het gevaarlijk was. Je raakte gewond omdat je niet hebt geluisterd. 	 I told you it was dangerous. The reason you got hurt was because you didn't listen.
De ontmoeting had gisteren plaats. 	 The meeting took place yesterday.
Dit land is rijk aan steenkolen. 	 This country is rich in coal.
Soms wil je gewoon alleen maar chocola eten. 	 Sometimes you just want to eat chocolate.
Er staat iemand bij de poort die erg op Tom lijkt. 	 Someone who looks a lot like Tom is standing near the gate.
Tom is me al 300 dollar schuldig. 	 Tom already owes me three hundred dollars.
Tom is kaal, maar John niet. 	 Tom is bald, but John isn't.
Kan je het vinden? 	 Can you find it?
Waarop baseert u uw theorie? 	 What do you base your theory on?
Die hamburger was heel lekker. 	 That hamburger really was delicious.
Ben jij ouder dan 18 jaar? 	 Are you over 18?
Hij is gek op voetbal. 	 He's crazy about soccer.
Tom heeft niets besteld. 	 Tom didn't order anything.
Is Tom aangestoken? 	 Is Tom infected?
Spelen de Giants vanavond? 	 Are the Giants playing tonight?
Tom zal van Boston houden. 	 Tom is going to love Boston.
Ik zal het je geven. 	 I'll give it to you.
Wie heeft Hamlet geschreven? 	 Who wrote Hamlet?
Je moet het eerst met je ouders bespreken. 	 First of all, you should talk it over with your parents.
Heb je genoten van de expositie? 	 Did you enjoy the exhibition?
Tom is niet in orde 	 Tom isn't OK.
Moet ik weg? 	 Do I have to go?
Dat kan ik niet uitsluiten. 	 I can't exclude it.
Vergeet niet wie je bent. 	 Don't forget who you are.
Ze hebben een bruine huid en zwart haar. 	 They have brown skin and black hair.
Ik voelde me beledigd. 	 I felt insulted.
Ik wil niet blijven. 	 I don't want to stay.
Deze weg leidt naar Hong Kong. 	 This road leads to Hong Kong.
